id;site_id;transaction_id;payment_method_id;currency;machine_name;authorization_value;campaign_id;settlement_value;product_selection_info;card_number;authrization_rrn;machine_authorization_time;machine_settlement_time;credit_card_type;card_type;payment_method;transaction_status_id;transaction_type_id;billing_provider;prepaid_card_holder_name;refund_request_by;refund_request_date;refund_reason
1;21721;abaft upbeat;25486;truthfully;how shyly awkwardly;17235;before when cleverly;1684.74;crisp;after yum minus;failing;2025-02-01T22:15:50;2025-02-01T18:21:47;mattress but;wary rein although;departure;26348;2726;mmm vegetarian;reduce so;while shoddy willing;2025-02-01T11:49:59;gosh yum um
2;24764;glossy in;3755;versus merrily determined;cleaner except;15978;fat;27965.13;for epoxy;unfortunately;drat;2025-02-02T04:16:00;2025-02-01T07:19:18;er CD;behind;blather amidst sheepishly;32054;20471;uh-huh while bah;hm;identify unlike;2025-02-01T07:35:04;above
3;31418;forenenst;32437;support;shyly flat till;2499;self-assured recruit after;28971.32;responsible urgently;except;supposing denationalize;2025-02-02T00:29:21;2025-02-01T20:15:01;instructive this likewise;enormously against;like alongside osmosis;7120;10428;duh;shoe brr;cautiously gee;2025-02-01T11:46:42;which
4;14141;instead;22179;sparse regarding;legend;12969;hm workforce certainly;24402.13;kookily qua loyalty;strawman;arch;2025-02-02T04:10:10;2025-02-01T16:18:40;around nearly;aw who;insidious speedily;3035;2905;soliloquize;helplessly;save;2025-02-01T23:21:11;ick chops
5;32711;geez;22955;vastly;where excepting huzzah;11750;brr;25017.13;ah gift allay;noisily;verbally mild how;2025-02-01T23:15:38;2025-02-01T15:12:40;unto lopsided;sport;phooey blather excepting;32531;1;or punch;dazzling in from;scholarly;2025-02-01T13:43:55;mimosa
6;2375;when soda midst;9422;session;mortally beet contravene;32043;boohoo;26066.91;chubby;development huzzah;hm since;2025-02-02T00:55:39;2025-02-01T16:07:36;apud disgusting;digitalize whoa;formal;3340;23459;until;adventurously;since save;2025-02-01T15:55:36;following
7;3022;meh;17786;moral;the tightly the;1677;braid;7468.7;behaviour restfully fly;clearly pooh;best;2025-02-01T18:16:45;2025-02-01T15:22:30;why storm;consulate healthily while;as enraged;6605;3848;chaperone;lighting;count generously yearly;2025-02-01T14:15:34;even
8;17506;whenever and ick;19610;consequently since buffer;gleefully now gadzooks;15948;whose;17728.04;championship;gene blissfully;nearly hence;2025-02-02T07:10:47;2025-02-02T06:18:56;uncommon;persist gee;what sinful;2677;5641;composed;ack almost arrogantly;throughout judgementally huzzah;2025-02-01T17:28:42;overcooked terrace
9;10222;gee boohoo;2530;intelligent per;ack hmph zowie;15445;randomise;24605.55;bolero;whoa anenst;inflation sweet;2025-02-01T18:21:07;2025-02-02T04:53:41;mostly huzzah;that footnote;across to;18265;89;accost athwart throughout;to pish;phew junker aw;2025-02-01T17:16:59;ick hm
10;1052;upward to reconcile;26074;amongst yet swathe;relief consequently;10509;bust boggle;30719.91;intuition;agent dear;from overvalue and;2025-02-02T00:59:38;2025-02-02T06:13:59;tenderly often repeatedly;in boo than;rethink;14024;28702;into mid bamboozle;when invasion;dry phew ouch;2025-02-01T20:20:31;schedule propel
